Distance,Speed,nGear,X,Y,Driver
1200.9583333333326,91.0,1,-939.9565124320293,-1061.0576076282903,LEC
1203.4861190276818,85.4,1,-922.0,-1078.0,LEC
1206.9472222222214,77.0,1,-894.6578194769512,-1099.106375147784,LEC
1207.598686146247,76.2,1,-888.0,-1103.0,LEC
1210.9472222222214,72.0,1,-843.3850474862845,-1123.4498573607486,LEC
1212.3059911184546,69.84,1,-826.0,-1130.0,LEC
1214.6138888888881,66.0,1,-803.8414395069567,-1136.3207546785598,LEC
1218.002777777777,61.0,1,-787.2247424743686,-1133.656673404976,LEC
1220.0940246530383,57.6750016,1,-774.0,-1127.0,LEC
1221.1138888888881,56.0,1,-765.6990507180412,-1122.4137389800674,LEC
1223.0926031151732,54.3375008,1,-750.0,-1111.0,LEC
1223.677058450615,53.8375008,1,-747.0,-1107.0,LEC
1224.6472222222214,53.0,1,-742.5209817746545,-1099.3916294098965,LEC
1227.4805555555547,51.0,1,-732.8249847335521,-1071.6386451326891,LEC
1227.9403512590072,50.725000533333336,1,-732.0,-1067.0,LEC
1230.116017120389,49.4,1,-731.0,-1045.0,LEC
1230.7472222222214,49.0,1,-731.3417119068174,-1038.4054849133788,LEC
1232.1846406717252,46.8812512,1,-733.0,-1023.0,LEC
1232.7916666666658,46.0,1,-733.9512017005217,-1016.6906608547246,LEC
1236.124999999999,50.0,1,-741.4380628740572,-984.7763202798257,LEC
1236.3152006246069,50.19499904,1,-742.0,-983.0,LEC
1237.7939989449308,51.68,1,-747.0,-969.0,LEC
1242.3472222222213,56.0,1,-772.7018421322632,-917.6089587958128,LEC
1244.2014353550378,58.25999872,1,-783.0,-900.0,LEC
1245.6805555555545,60.0,1,-789.9767365357724,-889.0694846568465,LEC
1250.0805555555546,66.0,1,-808.370246366981,-865.5306725711112,LEC
1251.1085704219731,67.54583146666667,1,-814.0,-859.0,LEC
1254.7949481260375,72.79583146666667,1,-838.0,-832.0,LEC
1254.9472222222212,73.0,1,-839.0385895556385,-830.8492150624563,LEC
1258.5916666666656,82.0,1,-864.325845107932,-803.2047426461843,LEC
1260.309164752853,84.281248,1,-876.0,-791.0,LEC
1262.4583333333321,87.0,1,-889.6205192260214,-777.390093614382,LEC
1264.4154001386141,91.562496,1,-902.0,-765.0,LEC
1269.258333333332,102.0,1,-936.8687035060484,-728.3691941835899,LEC
1272.6097991191493,104.25999872,1,-960.0,-702.0,LEC
1275.147222222221,106.0,2,-975.2473688687626,-682.8587822380397,LEC
1279.5916666666653,100.0,2,-998.0579637073422,-649.5864892497726,LEC
1280.4527433960218,99.29085860004142,2,-1002.0,-643.0,LEC
1287.6265996801403,93.08587135040378,2,-1026.0,-577.0,LEC
1288.8172222222208,92.0,2,-1027.3031983141652,-559.806008188815,LEC
1291.9159288793574,86.2687472,2,-1027.0,-512.0,LEC
1292.5949999999987,85.0,2,-1026.5114527574824,-503.9219906588847,LEC
1296.3049999999987,84.0,2,-1021.3892280856182,-478.0655942738266,LEC
1299.8238182429097,83.65454545454546,2,-1011.0,-459.0,LEC
1305.3441466145284,83.10909090909091,2,-982.0,-413.0,LEC
1306.449444444443,83.0,2,-974.6888234185437,-404.45591429593844,LEC
1309.0309636247641,83.0,2,-956.0,-386.0,LEC
1310.138333333332,83.0,2,-947.4228338254165,-378.2783113993538,LEC
1314.8049999999987,84.0,2,-907.1651827081157,-346.72348992397184,LEC
1317.5635443048166,88.2,2,-877.0,-328.0,LEC
1318.8049999999987,90.0,2,-861.9632470874783,-319.59867030052754,LEC
1329.3049999999987,105.0,2,-734.3885028717227,-258.52945680995134,LEC
1329.7086023061663,105.5958304,2,-731.0,-257.0,LEC
1337.038333333332,116.0,2,-690.7698605140948,-239.66158603827617,LEC
1341.70712338191,121.3625,2,-663.0,-229.0,LEC
1348.26011457124,128.7156224,2,-601.0,-207.0,LEC
1348.5049999999987,129.0,2,-597.9287557553777,-206.04063798228378,LEC
1355.641283179051,121.0125024,2,-496.0,-178.0,LEC
1356.5049999999987,120.0,2,-486.8126605881465,-175.78870889683984,LEC
1362.6161111111098,110.0,2,-450.83701532830594,-170.13920372119676,LEC
1364.7085312992656,106.71500288,2,-437.0,-169.0,LEC
1368.227222222221,101.0,2,-403.4190129374089,-166.58832210026478,LEC
1369.655094939637,100.22,2,-387.0,-168.0,LEC
